2022-12-07 17:34:51,811 INFO    MainThread:38629 [wandb_setup.py:_flush():68] Configure stats pid to 38629
2022-12-07 17:34:51,812 INFO    MainThread:38629 [wandb_setup.py:_flush():68] Loading settings from /home/public/.config/wandb/settings
2022-12-07 17:34:51,812 INFO    MainThread:38629 [wandb_setup.py:_flush():68] Loading settings from /home/public/xww/Exp/fldemo/fed_exp/wandb/settings
2022-12-07 17:34:51,812 INFO    MainThread:38629 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-12-07 17:34:51,812 INFO    MainThread:38629 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'fed_exp/main_fed.py', 'program': './main_fed.py'}
2022-12-07 17:34:51,812 INFO    MainThread:38629 [wandb_init.py:_log_setup():476] Logging user logs to /home/public/xww/Exp/fldemo/fed_exp/wandb/offline-run-20221207_173451-210wz32m/logs/debug.log
2022-12-07 17:34:51,812 INFO    MainThread:38629 [wandb_init.py:_log_setup():477] Logging internal logs to /home/public/xww/Exp/fldemo/fed_exp/wandb/offline-run-20221207_173451-210wz32m/logs/debug-internal.log
2022-12-07 17:34:51,812 INFO    MainThread:38629 [wandb_init.py:init():516] calling init triggers
2022-12-07 17:34:51,812 INFO    MainThread:38629 [wandb_init.py:init():520] wandb.init called with sweep_config: {}
config: {'model': 'cnn', 'dataset': 'fmnist', 'client_num_in_total': 100, 'local_bs': 128, 'lr': 0.0005, 'comm_round': 200, 'frequency_of_the_test': 1, 'gpu': 0, 'budget_per_round': 100.0, 'seed': 20221205, 'draw': True, 'fed_name': 'FedOpt', 'iid': True, 'uniform': True, 'momentum': 0.5, 'device': device(type='cuda', index=0)}
2022-12-07 17:34:51,812 INFO    MainThread:38629 [wandb_init.py:init():569] starting backend
2022-12-07 17:34:51,812 INFO    MainThread:38629 [wandb_init.py:init():573] setting up manager
2022-12-07 17:34:51,815 INFO    MainThread:38629 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-12-07 17:34:51,817 INFO    MainThread:38629 [wandb_init.py:init():580] backend started and connected
2022-12-07 17:34:51,821 INFO    MainThread:38629 [wandb_init.py:init():658] updated telemetry
2022-12-07 17:34:51,840 INFO    MainThread:38629 [wandb_init.py:init():728] starting run threads in backend
2022-12-07 17:34:53,764 INFO    MainThread:38629 [wandb_run.py:_console_start():1980] atexit reg
2022-12-07 17:34:53,765 INFO    MainThread:38629 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-12-07 17:34:53,765 INFO    MainThread:38629 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-12-07 17:34:53,765 INFO    MainThread:38629 [wandb_run.py:_redirect():1925] Redirects installed.
2022-12-07 17:34:53,766 INFO    MainThread:38629 [wandb_init.py:init():765] run started, returning control to user process
2022-12-07 18:31:39,645 WARNING MsgRouterThr:38629 [router.py:message_loop():77] message_loop has been closed
