2022-12-15 23:16:39,215 INFO    MainThread:13441 [wandb_setup.py:_flush():68] Configure stats pid to 13441
2022-12-15 23:16:39,216 INFO    MainThread:13441 [wandb_setup.py:_flush():68] Loading settings from /home/public/.config/wandb/settings
2022-12-15 23:16:39,216 INFO    MainThread:13441 [wandb_setup.py:_flush():68] Loading settings from /home/public/xww/Exp/fldemo/fed_exp/wandb/settings
2022-12-15 23:16:39,216 INFO    MainThread:13441 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-12-15 23:16:39,216 INFO    MainThread:13441 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'fed_exp/main_fed.py', 'program': './main_fed.py'}
2022-12-15 23:16:39,216 INFO    MainThread:13441 [wandb_init.py:_log_setup():476] Logging user logs to /home/public/xww/Exp/fldemo/fed_exp/wandb/offline-run-20221215_231639-1x4asdnq/logs/debug.log
2022-12-15 23:16:39,216 INFO    MainThread:13441 [wandb_init.py:_log_setup():477] Logging internal logs to /home/public/xww/Exp/fldemo/fed_exp/wandb/offline-run-20221215_231639-1x4asdnq/logs/debug-internal.log
2022-12-15 23:16:39,216 INFO    MainThread:13441 [wandb_init.py:init():516] calling init triggers
2022-12-15 23:16:39,216 INFO    MainThread:13441 [wandb_init.py:init():520] wandb.init called with sweep_config: {}
config: {'model': 'cnn', 'dataset': 'cifar-10', 'client_num_in_total': 100, 'local_bs': 128, 'lr': 0.01, 'comm_round': 20, 'frequency_of_the_test': 1, 'gpu': 0, 'budget_per_round': 100.0, 'seed': 20220924, 'draw': True, 'fed_name': 'FedTime', 'iid': True, 'uniform': True, 'momentum': 0.5, 'device': device(type='cuda', index=0)}
2022-12-15 23:16:39,216 INFO    MainThread:13441 [wandb_init.py:init():569] starting backend
2022-12-15 23:16:39,216 INFO    MainThread:13441 [wandb_init.py:init():573] setting up manager
2022-12-15 23:16:39,219 INFO    MainThread:13441 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-12-15 23:16:39,221 INFO    MainThread:13441 [wandb_init.py:init():580] backend started and connected
2022-12-15 23:16:39,225 INFO    MainThread:13441 [wandb_init.py:init():658] updated telemetry
2022-12-15 23:16:39,248 INFO    MainThread:13441 [wandb_init.py:init():728] starting run threads in backend
2022-12-15 23:16:41,027 INFO    MainThread:13441 [wandb_run.py:_console_start():1980] atexit reg
2022-12-15 23:16:41,028 INFO    MainThread:13441 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-12-15 23:16:41,028 INFO    MainThread:13441 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-12-15 23:16:41,028 INFO    MainThread:13441 [wandb_run.py:_redirect():1925] Redirects installed.
2022-12-15 23:16:41,030 INFO    MainThread:13441 [wandb_init.py:init():765] run started, returning control to user process
2022-12-15 23:16:44,659 WARNING MsgRouterThr:13441 [router.py:message_loop():77] message_loop has been closed
